bias_z,frequency_ghz,mean_centered_abs_response
# Source: Zhang et al., Phys. Rev. Applied 24, 034003 (2025), Fig. 2 data.
# Dataset: https://doi.org/10.5281/zenodo.16791932 (CC BY 4.0).
# Modified: file-wise mean subtraction, absolute value, and restriction to the two comparison windows.
0.60,4.815000,38.3122654778
0.60,4.810000,40.7941497608
0.60,4.805000,41.3846141218
0.60,4.800000,39.9496422578
0.60,4.800000,4.88904088838
0.60,4.795000,7.52141074058
0.60,4.790000,1.64951258078
0.60,4.785000,4.42577387378
0.60,4.780000,4.92026441368
0.60,4.780000,7.12603683424
0.60,4.775000,11.9088930438
0.60,4.770000,10.6514813844
0.60,4.765000,5.58231577494
0.60,4.760000,6.53970797874
0.60,4.755000,3.99095050514
0.60,4.750000,7.39351520014
0.60,4.745000,4.77178370194
0.60,4.740000,1.70446079574
0.60,4.735000,2.49668898966
0.60,4.730000,9.56495301436
0.60,4.725000,9.89487358256
0.60,4.720000,7.61361127106
0.60,4.715000,17.6627611883
0.60,4.710000,24.8179549023
0.60,4.710000,2.54496858663
0.60,4.705000,11.3911138011
